Season,Date,Left,Joined,MV,Fee,player
19/20,"Jul 16, 2019",Bor. Dortmund,Paris SG,€35.00m,€32.00m,Abdou Diallo
18/19,"Jul 1, 2018",1.FSV Mainz 05,Bor. Dortmund,€12.00m,€28.00m,Abdou Diallo
17/18,"Jul 14, 2017",Monaco,1.FSV Mainz 05,€1.00m,€5.00m,Abdou Diallo
15/16,"Jun 30, 2016",Zulte Waregem,Monaco,€1.20m,End of loan,Abdou Diallo
15/16,"Jul 1, 2015",Monaco,Zulte Waregem,€500Th.,loan transfer,Abdou Diallo
14/15,"Jul 1, 2014",Monaco B,Monaco,-,-,Abdou Diallo
13/14,"Jul 1, 2013",Monaco U19,Monaco B,-,-,Abdou Diallo
20/21,"Jan 13, 2021",Olympique Lyon,Atlético Madrid,€30.00m,Loan fee:€1.50m,Moussa Dembélé
18/19,"Aug 31, 2018",Celtic,Olympique Lyon,€7.00m,€22.00m,Moussa Dembélé
16/17,"Jul 1, 2016",Fulham,Celtic,€3.00m,free transfer,Moussa Dembélé
14/15,"Jul 1, 2014",Fulham U18,Fulham,-,-,Moussa Dembélé
12/13,"Jul 15, 2012",Paris SG U17,Fulham U18,-,€360Th.,Moussa Dembélé
11/12,"Jul 1, 2011",PSG Youth,Paris SG U17,-,-,Moussa Dembélé
18/19,"Aug 16, 2018",FC Schalke 04,Paris SG,€18.00m,€37.00m,Thilo Kehrer
15/16,"Jul 1, 2015",Schalke 04 U19,FC Schalke 04,-,-,Thilo Kehrer
13/14,"Jul 1, 2013",Schalke 04 U17,Schalke 04 U19,-,-,Thilo Kehrer
12/13,"Jul 1, 2012",Stuttgart U17,Schalke 04 U17,-,free transfer,Thilo Kehrer
11/12,"Jul 1, 2011",Stuttgart Yth.,Stuttgart U17,-,-,Thilo Kehrer
10/11,"Jul 1, 2010",Reutlingen Yth.,Stuttgart Yth.,-,free transfer,Thilo Kehrer
06/07,"Jul 1, 2006",Tübingen Yth.,Reutlingen Yth.,-,free transfer,Thilo Kehrer
20/21,"Sep 1, 2020",Chelsea,Atalanta BC,€25.00m,€15.00m,Mario Pasalic
19/20,"Aug 31, 2020",Atalanta BC,Chelsea,€25.00m,End of loan,Mario Pasalic
18/19,"Jul 25, 2018",Chelsea,Atalanta BC,€8.00m,Loan fee:€2.50m,Mario Pasalic
17/18,"Jun 30, 2018",Spartak Moscow,Chelsea,€8.00m,End of loan,Mario Pasalic
17/18,"Aug 2, 2017",Chelsea,Spartak Moscow,€8.00m,loan transfer,Mario Pasalic
16/17,"Jun 30, 2017",AC Milan,Chelsea,€8.00m,End of loan,Mario Pasalic
16/17,"Aug 27, 2016",Chelsea,AC Milan,€4.50m,Loan fee:€1.00m,Mario Pasalic
15/16,"Jun 30, 2016",Monaco,Chelsea,€5.00m,End of loan,Mario Pasalic
15/16,"Jul 3, 2015",Chelsea,Monaco,€4.00m,loan transfer,Mario Pasalic
14/15,"Jun 30, 2015",Elche CF,Chelsea,€3.00m,End of loan,Mario Pasalic
14/15,"Jul 21, 2014",Chelsea,Elche CF,€3.00m,loan transfer,Mario Pasalic
14/15,"Jul 9, 2014",Hajduk Split,Chelsea,€3.00m,€2.50m,Mario Pasalic
12/13,"Apr 12, 2013",Hajduk U19,Hajduk Split,-,-,Mario Pasalic
12/13,"Jul 1, 2012",Hajduk U17,Hajduk U19,-,-,Mario Pasalic
10/11,"Jul 1, 2010",Hajduk Yth.,Hajduk U17,-,-,Mario Pasalic
18/19,"Jul 1, 2018",Monaco,Atlético Madrid,€65.00m,€72.00m,Thomas Lemar
15/16,"Jul 1, 2015",SM Caen,Monaco,€1.25m,€4.00m,Thomas Lemar
13/14,"Jul 1, 2013",SM Caen B,SM Caen,-,-,Thomas Lemar
11/12,"Jul 1, 2011",Caen U19,SM Caen B,-,-,Thomas Lemar
10/11,"Jul 1, 2010",Solidarité ,Caen U19,-,free transfer,Thomas Lemar
19/20,"Jul 23, 2019",Olympique Lyon,Real Betis,€60.00m,€19.75m,Nabil Fekir
13/14,"Jul 1, 2013",Olymp. Lyon B,Olympique Lyon,-,-,Nabil Fekir
11/12,"Jul 1, 2011",AS Saint-Priest,Olymp. Lyon B,-,free transfer,Nabil Fekir
10/11,"Aug 10, 2010",FC Vaulx-en-Velin,AS Saint-Priest,-,?,Nabil Fekir
07/08,"Jul 31, 2007",Ol. Lyon Yth.,FC Vaulx-en-Velin,-,?,Nabil Fekir
05/06,"Jul 1, 2005",Caluire,Ol. Lyon Yth.,-,?,Nabil Fekir
03/04,"Sep 28, 2003",FC Vaulx-en-Velin,Caluire,-,?,Nabil Fekir
01/02,"Sep 15, 2001",Villeurbanne EL,FC Vaulx-en-Velin,-,?,Nabil Fekir
14/15,"Jul 1, 2014",Arsenal U21,Arsenal,€300Th.,-,Héctor Bellerín
13/14,"Feb 18, 2014",Watford,Arsenal U21,€500Th.,End of loan,Héctor Bellerín
13/14,"Nov 22, 2013",Arsenal U21,Watford,€300Th.,loan transfer,Héctor Bellerín
12/13,"Jul 1, 2012",Arsenal U18,Arsenal U21,-,-,Héctor Bellerín
11/12,"Jul 1, 2011",Barcelona Yth.,Arsenal U18,-,€500Th.,Héctor Bellerín
19/20,"Jul 1, 2019",Bay. Leverkusen,Bor. Dortmund,€50.00m,€25.00m,Julian Brandt
13/14,"Jan 1, 2014",Wolfsburg U19,Bay. Leverkusen,-,€500Th.,Julian Brandt
12/13,"Jul 1, 2012",Wolfsburg U17,Wolfsburg U19,-,-,Julian Brandt
11/12,"Jul 1, 2011",Oberneul. Yth.,Wolfsburg U17,-,free transfer,Julian Brandt
09/10,"Jul 1, 2009",Borgfeld Yth.,Oberneul. Yth.,-,free transfer,Julian Brandt
14/15,"Jul 1, 2014",Southampton,Man Utd,€13.00m,€37.50m,Luke Shaw
12/13,"Nov 1, 2012",Southampton U21,Southampton,-,-,Luke Shaw
12/13,"Jul 1, 2012",Southampton U18,Southampton U21,-,-,Luke Shaw
15/16,"Aug 18, 2015",Paris SG,LOSC Lille,€250Th.,€1.00m,Mike Maignan
13/14,"Jul 1, 2013",Paris SG B,Paris SG,-,-,Mike Maignan
12/13,"Jul 1, 2012",Paris SG U19,Paris SG B,-,-,Mike Maignan
11/12,"Jul 1, 2011",Paris SG U17,Paris SG U19,-,-,Mike Maignan
10/11,"Jul 1, 2010",PSG Youth,Paris SG U17,-,-,Mike Maignan
18/19,"Jul 12, 2018",Sevilla FC,FC Barcelona,€36.00m,€35.90m,Clément Lenglet
16/17,"Jan 4, 2017",AS Nancy,Sevilla FC,€2.50m,€5.40m,Clément Lenglet
14/15,"Jul 1, 2014",AS Nancy B,AS Nancy,€150Th.,-,Clément Lenglet
13/14,"Jul 1, 2013",AS Nancy U19,AS Nancy B,-,-,Clément Lenglet
20/21,"Oct 5, 2020",Chelsea,SSC Napoli,€25.50m,Loan fee:€2.00m,Tiemoué Bakayoko
19/20,"Jun 30, 2020",Monaco,Chelsea,€25.50m,End of loan,Tiemoué Bakayoko
19/20,"Aug 31, 2019",Chelsea,Monaco,€35.00m,Loan fee:€3.00m,Tiemoué Bakayoko
18/19,"Jun 30, 2019",AC Milan,Chelsea,€35.00m,End of loan,Tiemoué Bakayoko
18/19,"Aug 13, 2018",Chelsea,AC Milan,€40.00m,Loan fee:€5.00m,Tiemoué Bakayoko
17/18,"Jul 15, 2017",Monaco,Chelsea,€16.00m,€40.00m,Tiemoué Bakayoko
14/15,"Jul 28, 2014",Stade Rennais,Monaco,€1.25m,€8.00m,Tiemoué Bakayoko
13/14,"Jul 1, 2013",Rennes B,Stade Rennais,-,-,Tiemoué Bakayoko
12/13,"Jul 1, 2012",Rennes U19,Rennes B,-,-,Tiemoué Bakayoko
14/15,"Jul 31, 2014",Sporting CP,Spurs,€3.50m,€5.00m,Eric Dier
12/13,"Jul 1, 2012",Sporting U19,Sporting CP,-,-,Eric Dier
11/12,"Jun 30, 2012",Everton U18,Sporting U19,-,End of loan,Eric Dier
10/11,"Jan 20, 2011",Sporting U19,Everton U18,-,loan transfer,Eric Dier
10/11,"Jul 1, 2010",Sporting U17,Sporting U19,-,-,Eric Dier
09/10,"Jul 1, 2009",Sporting Sub-15,Sporting U17,-,-,Eric Dier
15/16,"Feb 1, 2016",Brentford,Burnley,€350Th.,€4.00m,James Tarkowski
13/14,"Jan 31, 2014",Oldham Athletic,Brentford,€50Th.,?,James Tarkowski
10/11,"Jan 1, 2011",Oldham U18,Oldham Athletic,-,-,James Tarkowski
18/19,"Jul 13, 2018",OGC Nice,Bor. M'gladbach,€18.00m,€23.00m,Alassane Plea
14/15,"Aug 28, 2014",Olympique Lyon,OGC Nice,€1.00m,€500Th.,Alassane Plea
13/14,"Jun 30, 2014",AJ Auxerre,Olympique Lyon,€750Th.,End of loan,Alassane Plea
13/14,"Jan 31, 2014",Olympique Lyon,AJ Auxerre,€750Th.,loan transfer,Alassane Plea
12/13,"Jul 1, 2012",Olymp. Lyon B,Olympique Lyon,-,-,Alassane Plea
11/12,"Jul 1, 2011",Olymp. Lyon U19,Olymp. Lyon B,-,-,Alassane Plea
19/20,"Jan 28, 2020",Inter,SSC Napoli,€28.00m,Loan fee:€2.50m,Matteo Politano
19/20,"Jul 1, 2019",Sassuolo,Inter,€30.00m,€21.10m,Matteo Politano
18/19,"Jun 30, 2019",Inter,Sassuolo,€30.00m,End of loan,Matteo Politano
18/19,"Jul 1, 2018",Sassuolo,Inter,€22.00m,Loan fee:€5.00m,Matteo Politano
16/17,"Jul 1, 2016",AS Roma,Sassuolo,€2.50m,€8.10m,Matteo Politano
15/16,"Jun 30, 2016",Sassuolo,AS Roma,€2.50m,End of loan,Matteo Politano
15/16,"Jul 2, 2015",AS Roma,Sassuolo,€2.00m,Loan fee:€100Th.,Matteo Politano
15/16,"Jul 1, 2015",Pescara,AS Roma,€2.00m,€600Th.,Matteo Politano
13/14,"Jul 1, 2013",AS Roma,Pescara,€750Th.,€500Th.,Matteo Politano
12/13,"Jun 30, 2013",Perugia,AS Roma,€750Th.,End of loan,Matteo Politano
12/13,"Jul 17, 2012",Roma U19,Perugia,€150Th.,loan transfer,Matteo Politano
10/11,"Jul 1, 2010",Roma U17,Roma U19,-,-,Matteo Politano
08/09,"Jul 1, 2008",AS Rom Youth,Roma U17,-,-,Matteo Politano
17/18,"Jan 30, 2018",Real Sociedad,Athletic,€25.00m,€32.00m,Iñigo Martínez
11/12,"Jul 1, 2011",Real Sociedad B,Real Sociedad,-,-,Iñigo Martínez
09/10,"Jul 1, 2009",R. Sociedad U19,Real Sociedad B,-,-,Iñigo Martínez
13/14,"Jul 4, 2013",Lyngby BK,RB Leipzig,€400Th.,€1.55m,Yussuf Poulsen
11/12,"Jan 1, 2012",Lyngby BK U19,Lyngby BK,-,-,Yussuf Poulsen
10/11,"Jan 1, 2011",Lyngby BK Youth,Lyngby BK U19,-,-,Yussuf Poulsen
13/14,"Nov 4, 2013",Bristol City,Brighton,€700Th.,End of loan,Lewis Dunk
13/14,"Oct 4, 2013",Brighton,Bristol City,€700Th.,loan transfer,Lewis Dunk
10/11,"Jul 1, 2010",Brighton U18,Brighton,-,-,Lewis Dunk
17/18,"Jan 5, 2018",Independiente,Ajax,€6.00m,€4.00m,Nicolás Tagliafico
14/15,"Feb 10, 2015",CA Banfield,Independiente,€1.00m,€2.78m,Nicolás Tagliafico
12/13,"Jun 30, 2013",Real Murcia,CA Banfield,€500Th.,End of loan,Nicolás Tagliafico
12/13,"Aug 30, 2012",CA Banfield,Real Murcia,€100Th.,loan transfer,Nicolás Tagliafico
10/11,"Jul 1, 2010",CA Banfield U20,CA Banfield,€50Th.,-,Nicolás Tagliafico
20/21,"Sep 8, 2020",Watford,Everton,€20.00m,€22.10m,Abdoulaye Doucouré
15/16,"Jun 30, 2016",Granada CF,Watford,€6.00m,End of loan,Abdoulaye Doucouré
15/16,"Feb 2, 2016",Watford,Granada CF,€6.00m,loan transfer,Abdoulaye Doucouré
15/16,"Feb 1, 2016",Stade Rennais,Watford,€6.00m,€10.60m,Abdoulaye Doucouré
12/13,"Jul 1, 2012",Rennes B,Stade Rennais,-,-,Abdoulaye Doucouré
11/12,"Jul 1, 2011",Rennes U19,Rennes B,-,-,Abdoulaye Doucouré
20/21,"Sep 7, 2020",Bournemouth,Newcastle,€20.00m,€22.25m,Callum Wilson
14/15,"Jul 4, 2014",Coventry,Bournemouth,€750Th.,€3.70m,Callum Wilson
12/13,"Jan 1, 2013",Coventry U23,Coventry,€50Th.,-,Callum Wilson
11/12,"Jan 16, 2012",Tamworth,Coventry U23,€50Th.,End of loan,Callum Wilson
11/12,"Dec 29, 2011",Coventry U23,Tamworth,€50Th.,loan transfer,Callum Wilson
10/11,"May 1, 2011",Kettering Town,Coventry U23,€50Th.,End of loan,Callum Wilson
10/11,"Jan 1, 2011",Coventry U23,Kettering Town,€50Th.,loan transfer,Callum Wilson
10/11,"Jul 1, 2010",Coventry U18,Coventry U23,-,-,Callum Wilson
20/21,"Sep 16, 2020",Arsenal,Aston Villa,€8.00m,€17.40m,Emiliano Martínez
18/19,"May 31, 2019",Reading,Arsenal,€1.00m,End of loan,Emiliano Martínez
18/19,"Jan 23, 2019",Arsenal,Reading,€1.00m,loan transfer,Emiliano Martínez
17/18,"Jun 30, 2018",Getafe,Arsenal,€1.00m,End of loan,Emiliano Martínez
17/18,"Aug 2, 2017",Arsenal,Getafe,€1.00m,loan transfer,Emiliano Martínez
15/16,"May 31, 2016",Wolves,Arsenal,€1.50m,End of loan,Emiliano Martínez
15/16,"Aug 11, 2015",Arsenal,Wolves,€1.50m,loan transfer,Emiliano Martínez
14/15,"May 4, 2015",Rotherham,Arsenal,€1.00m,End of loan,Emiliano Martínez
14/15,"Mar 20, 2015",Arsenal,Rotherham,€1.00m,loan transfer,Emiliano Martínez
13/14,"May 31, 2014",Sheff Wed,Arsenal,€300Th.,End of loan,Emiliano Martínez
13/14,"Oct 15, 2013",Arsenal,Sheff Wed,-,loan transfer,Emiliano Martínez
12/13,"Jul 1, 2012",Arsenal U21,Arsenal,-,-,Emiliano Martínez
11/12,"May 7, 2012",Oxford United,Arsenal Res.,-,End of loan,Emiliano Martínez
11/12,"May 4, 2012",Arsenal Res.,Oxford United,-,loan transfer,Emiliano Martínez
10/11,"Jul 1, 2010",Indep'te U20,Arsenal Res.,-,€1.50m,Emiliano Martínez
15/16,"Jul 20, 2015",Fiorentina,Atlético Madrid,€15.00m,€12.00m,Stefan Savic
12/13,"Aug 31, 2012",Man City,Fiorentina,€8.00m,free transfer,Stefan Savic
11/12,"Jul 6, 2011",Partizan,Man City,€6.00m,€12.00m,Stefan Savic
10/11,"Aug 30, 2010",BSK Borca,Partizan,€450Th.,€300Th.,Stefan Savic
09/10,"Jul 1, 2009",Borca U19,BSK Borca,-,-,Stefan Savic
17/18,"Jul 9, 2017",AS Roma,Chelsea,€25.00m,€35.00m,Antonio Rüdiger
16/17,"Jul 1, 2016",VfB Stuttgart,AS Roma,€10.00m,€9.00m,Antonio Rüdiger
15/16,"Jun 30, 2016",AS Roma,VfB Stuttgart,€10.00m,End of loan,Antonio Rüdiger
15/16,"Aug 19, 2015",VfB Stuttgart,AS Roma,€10.00m,Loan fee:€4.00m,Antonio Rüdiger
12/13,"Jul 1, 2012",Stuttgart II,VfB Stuttgart,€500Th.,-,Antonio Rüdiger
11/12,"Jul 1, 2011",Stuttgart U19,Stuttgart II,-,-,Antonio Rüdiger
10/11,"Feb 1, 2011",B. Dortmund U19,Stuttgart U19,-,free transfer,Antonio Rüdiger
10/11,"Jul 1, 2010",B. Dortmund U17,B. Dortmund U19,-,-,Antonio Rüdiger
08/09,"Jul 1, 2008",Zehlendorf Yth.,B. Dortmund U17,-,free transfer,Antonio Rüdiger
06/07,"Jul 1, 2006",Neuk. SF Yth.,Zehlendorf Yth.,-,free transfer,Antonio Rüdiger
05/06,"Jul 1, 2005",Tasmania Yth.,Neuk. SF Yth.,-,free transfer,Antonio Rüdiger
02/03,"Jul 1, 2002",Neukölln Yth.,Tasmania Yth.,-,free transfer,Antonio Rüdiger
13/14,"Jul 1, 2013",FC Barcelona B,FC Barcelona,€7.50m,-,Sergi Roberto
09/10,"Jan 1, 2010",Barcelona C,FC Barcelona B,-,-,Sergi Roberto
08/09,"Jul 1, 2008",Barça U19,Barcelona C,-,-,Sergi Roberto
07/08,"Jan 1, 2008",Barça U18,Barça U19,-,-,Sergi Roberto
07/08,"Jul 1, 2007",Barça U16,Barça U18,-,-,Sergi Roberto
06/07,"Jul 1, 2006",Barcelona Yth.,Barça U16,-,-,Sergi Roberto
05/06,"Feb 1, 2006",Gimnàstic de Ta,Barcelona Yth.,-,?,Sergi Roberto
16/17,"Jul 1, 2016",FC Schalke 04,Liverpool,€18.00m,free transfer,Joel Matip
09/10,"Jul 1, 2009",Schalke 04 U19,FC Schalke 04,-,-,Joel Matip
08/09,"Jul 1, 2008",Schalke 04 U17,Schalke 04 U19,-,-,Joel Matip
06/07,"Jul 1, 2006",Schalke 04 Yth.,Schalke 04 U17,-,-,Joel Matip
00/01,"Jul 1, 2000",VfL Bochum Yth.,Schalke 04 Yth.,-,free transfer,Joel Matip
98/99,"Jul 1, 1998",SC Weitmar Yth.,VfL Bochum Yth.,-,free transfer,Joel Matip
17/18,"Jan 31, 2018",Paris SG,Spurs,€28.00m,€28.40m,Lucas Moura
12/13,"Jan 1, 2013",São Paulo,Paris SG,€35.00m,€40.00m,Lucas Moura
10/11,"Aug 1, 2010",FC São Paulo B,São Paulo,-,-,Lucas Moura
08/09,"Jan 1, 2009",São Paulo U17,FC São Paulo B,-,-,Lucas Moura
19/20,"Jul 2, 2019",Sevilla FC,Paris SG,€40.00m,€18.00m,Pablo Sarabia
16/17,"Jul 1, 2016",Getafe,Sevilla FC,€5.00m,€1.00m,Pablo Sarabia
11/12,"Jul 3, 2011",RM Castilla,Getafe,-,€3.00m,Pablo Sarabia
10/11,"Jul 1, 2010",Real Madrid U19,RM Castilla,-,-,Pablo Sarabia
09/10,"Jul 1, 2009",Real Madrid U18,Real Madrid U19,-,-,Pablo Sarabia
18/19,"Jul 1, 2018",Bay. Leverkusen,Arsenal,€20.00m,€25.00m,Bernd Leno
11/12,"Jan 1, 2012",VfB Stuttgart,Bay. Leverkusen,€5.00m,€7.50m,Bernd Leno
11/12,"Dec 31, 2011",Bay. Leverkusen,VfB Stuttgart,€5.00m,End of loan,Bernd Leno
11/12,"Aug 10, 2011",VfB Stuttgart,Bay. Leverkusen,€600Th.,Loan fee:€500Th.,Bernd Leno
11/12,"Jul 1, 2011",Stuttgart II,VfB Stuttgart,€600Th.,-,Bernd Leno
10/11,"Jul 1, 2010",Stuttgart U19,Stuttgart II,€150Th.,-,Bernd Leno
09/10,"Jul 1, 2009",Stuttgart U17,Stuttgart U19,-,-,Bernd Leno
07/08,"Jul 1, 2007",Stuttgart Yth.,Stuttgart U17,-,-,Bernd Leno
03/04,"Jul 1, 2003",Bietigheim Yth.,Stuttgart Yth.,-,free transfer,Bernd Leno
12/13,"Jul 1, 2012",Valencia,FC Barcelona,€10.00m,€14.00m,Jordi Alba
08/09,"Jun 30, 2009",Gimnàstic,Valencia,€600Th.,End of loan,Jordi Alba
08/09,"Jul 22, 2008",Valencia,Gimnàstic,-,loan transfer,Jordi Alba
08/09,"Jul 1, 2008",Valencia B,Valencia,-,-,Jordi Alba
07/08,"Jul 1, 2007",Cornellà U19,Valencia B,-,€6Th.,Jordi Alba
05/06,"Jul 1, 2005",Barça U18,Cornellà U19,-,free transfer,Jordi Alba
04/05,"Jul 1, 2004",Barça U16,Barça U18,-,-,Jordi Alba
03/04,"Jul 1, 2003",Barcelona Yth.,Barça U16,-,-,Jordi Alba
11/12,"Jul 28, 2011",Atlético Madrid,Man City,€36.00m,€40.00m,Sergio Agüero
06/07,"Jul 1, 2006",Independiente,Atlético Madrid,€5.00m,€21.70m,Sergio Agüero
04/05,"Jul 1, 2004",Indep'te U20,Independiente,-,-,Sergio Agüero
09/10,"Jul 9, 2009",Olympique Lyon,Real Madrid,€29.00m,€35.00m,Karim Benzema
05/06,"Jul 1, 2005",Olymp. Lyon U19,Olympique Lyon,€200Th.,-,Karim Benzema
20/21,"Jul 1, 2020",FC Bayern U19,FC Bayern ,€1.00m,-,Jamal Musiala
19/20,"Jan 1, 2020",FC Bayern U17,FC Bayern U19,-,-,Jamal Musiala
19/20,"Jul 4, 2019",Chelsea Youth,FC Bayern U17,-,free transfer,Jamal Musiala
10/11,"Mar 1, 2011",Southampton Aca,Chelsea Youth,-,free transfer,Jamal Musiala
10/11,"Nov 1, 2010",Lehnerz Yth.,Southampton Aca,-,free transfer,Jamal Musiala
19/20,"Aug 2, 2019",FC Barcelona,Zenit S-Pb,€40.00m,€40.00m,Malcom
18/19,"Jul 24, 2018",G. Bordeaux,FC Barcelona,€45.00m,€41.00m,Malcom
15/16,"Jan 31, 2016",Corinthians,G. Bordeaux,€10.00m,€5.00m,Malcom
13/14,"Jan 1, 2014",Corinthians U20,Corinthians,-,-,Malcom
16/17,"Aug 1, 2016",Dynamo Kyiv II,Dynamo Kyiv,-,-,Viktor Tsygankov
14/15,"Jan 1, 2015",Dynamo Kyiv U17,Dynamo Kyiv II,-,-,Viktor Tsygankov
20/21,"Sep 3, 2020",Atalanta BC,Leicester,€18.00m,€24.00m,Timothy Castagne
17/18,"Jul 7, 2017",KRC Genk,Atalanta BC,€3.00m,€6.50m,Timothy Castagne
14/15,"Jul 1, 2014",KRC Genk U21,KRC Genk,-,-,Timothy Castagne
13/14,"Jul 1, 2013",KRC Genk U19,KRC Genk U21,-,-,Timothy Castagne
12/13,"Jul 1, 2012",KRC Genk U17,KRC Genk U19,-,-,Timothy Castagne
11/12,"Jul 1, 2011",RE Virton U17,KRC Genk U17,-,free transfer,Timothy Castagne
17/18,"Jul 1, 2017",Benfica,Man Utd,€22.00m,€35.00m,Victor Lindelöf
15/16,"Jul 1, 2015",Benfica B,Benfica,€1.50m,-,Victor Lindelöf
12/13,"Jul 2, 2012",Benfica,Benfica B,-,-,Victor Lindelöf
12/13,"Jul 1, 2012",Västerås SK,Benfica,-,€3.06m,Victor Lindelöf
10/11,"Jan 1, 2011",Västerås U19,Västerås SK,-,-,Victor Lindelöf
09/10,"Jan 1, 2010",Västerås IK,Västerås U19,-,free transfer,Victor Lindelöf
20/21,"Oct 5, 2020",FC Porto,Paris SG,€24.00m,Loan fee:€4.00m,Danilo Pereira
15/16,"Jul 2, 2015",Marítimo,FC Porto,€5.00m,€4.50m,Danilo Pereira
13/14,"Aug 1, 2013",Parma,Marítimo,€650Th.,free transfer,Danilo Pereira
12/13,"Jun 30, 2013",Roda JC,Parma,€650Th.,End of loan,Danilo Pereira
12/13,"Jul 1, 2012",Parma,Roda JC,€500Th.,loan transfer,Danilo Pereira
10/11,"Jun 30, 2011",Aris Saloniki,Parma,€400Th.,End of loan,Danilo Pereira
10/11,"Jan 1, 2011",Parma,Aris Saloniki,€150Th.,loan transfer,Danilo Pereira
10/11,"Jul 1, 2010",Benfica U19,Parma,-,free transfer,Danilo Pereira
08/09,"Jul 1, 2008",Estoril U19,Benfica U19,-,free transfer,Danilo Pereira
07/08,"Jul 1, 2007",Estoril U17,Estoril U19,-,-,Danilo Pereira
15/16,"Aug 6, 2015",Man Utd,Paris SG,€50.00m,€63.00m,Ángel Di María
14/15,"Aug 26, 2014",Real Madrid,Man Utd,€50.00m,€75.00m,Ángel Di María
10/11,"Jul 1, 2010",Benfica,Real Madrid,€9.50m,€33.00m,Ángel Di María
07/08,"Jul 27, 2007",CA Rosario,Benfica,-,€8.00m,Ángel Di María
05/06,"Jul 1, 2005",CA Rosario U20,CA Rosario,-,-,Ángel Di María
18/19,"Jul 1, 2018",Montpellier,RB Leipzig,€14.00m,€16.00m,Nordi Mukiele
16/17,"Jan 6, 2017",Stade Lavallois,Montpellier,€800Th.,€1.50m,Nordi Mukiele
15/16,"Jul 1, 2015",Stade Laval B,Stade Lavallois,-,-,Nordi Mukiele
14/15,"Jul 1, 2014",Stade Laval U19,Stade Laval B,-,-,Nordi Mukiele
13/14,"Jan 1, 2014",Stade Laval U17,Stade Laval U19,-,-,Nordi Mukiele
13/14,"Jul 1, 2013",Paris FC Youth,Stade Laval U17,-,free transfer,Nordi Mukiele
17/18,"Jul 12, 2017",Paris SG B,LOSC Lille,-,free transfer,Boubakary Soumaré
16/17,"Jul 1, 2016",Paris SG U19,Paris SG B,-,-,Boubakary Soumaré
15/16,"Jul 1, 2015",Paris SG U17,Paris SG U19,-,-,Boubakary Soumaré
14/15,"Jul 1, 2014",PSG Youth,Paris SG U17,-,-,Boubakary Soumaré
11/12,"Jul 1, 2011",Paris FC Youth,PSG Youth,-,free transfer,Boubakary Soumaré
19/20,"Jul 12, 2019",SPAL,Lazio,€18.00m,€13.75m,Manuel Lazzari
13/14,"Jul 12, 2013",Giacomense,SPAL,-,free transfer,Manuel Lazzari
12/13,"Jul 1, 2012",D. Porto Tolle,Giacomense,-,?,Manuel Lazzari
11/12,"Jul 1, 2011",Montecchio Mag.,Delta,-,?,Manuel Lazzari
18/19,"Jul 27, 2018",CSKA Moscow,Monaco,€25.00m,€30.00m,Aleksandr Golovin
15/16,"Jul 1, 2015",CSKA Moscow II,CSKA Moscow,€100Th.,-,Aleksandr Golovin
13/14,"Jul 1, 2013",Akademia CSKA,CSKA Moscow II,-,-,Aleksandr Golovin
16/17,"Aug 31, 2016",Braga,Benfica,€15.00m,€16.00m,Rafa Silva
13/14,"Jul 8, 2013",Feirense,Braga,-,€496Th.,Rafa Silva
12/13,"Jul 1, 2012",Feirense U19,Feirense,-,-,Rafa Silva
11/12,"Jul 1, 2011",Alverca U19,Feirense U19,-,?,Rafa Silva
18/19,"Feb 1, 2019",Rubin Kazan,Zenit S-Pb,€9.50m,€12.00m,Sardar Azmoun
17/18,"Jul 14, 2017",Rostov,Rubin Kazan,€11.00m,free transfer,Sardar Azmoun
16/17,"Jul 22, 2016",Rubin Kazan,Rostov,€7.00m,€2.30m,Sardar Azmoun
15/16,"Jun 30, 2016",Rostov,Rubin Kazan,€7.00m,End of loan,Sardar Azmoun
15/16,"Jul 25, 2015",Rubin Kazan,Rostov,€2.50m,loan transfer,Sardar Azmoun
14/15,"Jun 30, 2015",Rostov,Rubin Kazan,€2.50m,End of loan,Sardar Azmoun
14/15,"Feb 26, 2015",Rubin Kazan,Rostov,€2.50m,loan transfer,Sardar Azmoun
13/14,"Jul 1, 2013",Rubin Kazan II,Rubin Kazan,€75Th.,-,Sardar Azmoun
12/13,"Jan 1, 2013",Sepahan FC U19 ,Rubin Kazan II,€75Th.,free transfer,Sardar Azmoun
10/11,"Jul 1, 2010",Etka Youth,Sepahan FC U19 ,-,free transfer,Sardar Azmoun
15/16,"Jan 19, 2016",FC Luzern,Atalanta BC,€2.00m,€1.95m,Remo Freuler
13/14,"Feb 18, 2014",FC Winterthur,FC Luzern,€450Th.,?,Remo Freuler
13/14,"Jul 1, 2013",Grasshoppers,FC Winterthur,€250Th.,?,Remo Freuler
12/13,"Jun 30, 2013",FC Winterthur,Grasshoppers,€250Th.,End of loan,Remo Freuler
11/12,"Feb 1, 2012",Grasshoppers,FC Winterthur,€50Th.,loan transfer,Remo Freuler
11/12,"Jul 1, 2011",GC Zürich U21,Grasshoppers,€50Th.,-,Remo Freuler
10/11,"Jul 1, 2010",Winterthur U21,GC Zürich U21,€50Th.,?,Remo Freuler
09/10,"Jul 1, 2009",Winterthur U18,Winterthur U21,-,-,Remo Freuler
07/08,"Jul 1, 2007",Winterthur Yth.,Winterthur U18,-,-,Remo Freuler
17/18,"Aug 10, 2017",Middlesbrough,Atalanta BC,€10.00m,€13.50m,Marten de Roon
